date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:53:39	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Fri,%2003%20Jun%202022%2008:53:39%20GMT	https://outsourceo-128.webflow.io/robots.txt		(from )
15:53:40	76503/76503	---M-Z	200	added ('OK')	text/html	date:Fri,%2003%20Jun%202022%2008:53:39%20GMT	https://outsourceo-128.webflow.io/	C:/Users/hanak/Documents/Helix/Website/Helix%20Webflow/outsourceo-128.webflow.io/index.html	(from )
15:53:40	261034/261034	---M-Z	200	added ('OK')	text/css	etag:%2225e480d3af1b461dc5a4f4d2b5edb5df%22	https://assets.website-files.com/623cd800893cf70fad24035e/css/outsourceo-128.webflow.971a25cee.css	C:/Users/hanak/Documents/Helix/Website/Helix%20Webflow/assets.website-files.com/623cd800893cf70fad24035e/css/outsourceo-128.webflow.971a25cee.css	(from https://outsourceo-128.webflow.io/)
15:53:41	13188/13188	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	C:/Users/hanak/Documents/Helix/Website/Helix%20Webflow/ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	(from https://outsourceo-128.webflow.io/)
15:53:41	1989/1989	---M--	200	added ('OK')	image/png	etag:%2233af3ab0d228d879760286935b7fac14%22	https://assets.website-files.com/623cd800893cf70fad24035e/624a9faa9ce019a2e172dde3_cropped-banner-slider-logo-01-150x150.png	C:/Users/hanak/Documents/Helix/Website/Helix%20Webflow/assets.website-files.com/623cd800893cf70fad24035e/624a9faa9ce019a2e172dde3_cropped-banner-slider-logo-01-150x150.png	(from https://outsourceo-128.webflow.io/)
15:53:41	3290/3290	---M--	200	added ('OK')	image/png	etag:%225d19a6dc030c169dc83ff100058d12a5%22	https://assets.website-files.com/img/webclip.png	C:/Users/hanak/Documents/Helix/Website/Helix%20Webflow/assets.website-files.com/img/webclip.png	(from https://outsourceo-128.webflow.io/)
15:53:41	5203/5203	---M--	200	added ('OK')	image/png	etag:%22d2e916db37a0ad68e2b5963406760bfe%22	https://assets.website-files.com/623cd800893cf70fad24035e/623da5488a92ed165769b9a0_logo_dark.png	C:/Users/hanak/Documents/Helix/Website/Helix%20Webflow/assets.website-files.com/623cd800893cf70fad24035e/623da5488a92ed165769b9a0_logo_dark.png	(from https://outsourceo-128.webflow.io/)
15:53:42	37391/37391	---M-Z	200	added ('OK')	text/html	date:Fri,%2003%20Jun%202022%2008:53:42%20GMT	https://outsourceo-128.webflow.io/home-2-outsourceo-128	C:/Users/hanak/Documents/Helix/Website/Helix%20Webflow/outsourceo-128.webflow.io/home-2-outsourceo-128.html	(from https://outsourceo-128.webflow.io/)
15:53:42	45606/45606	---M-Z	200	added ('OK')	text/html	date:Fri,%2003%20Jun%202022%2008:53:42%20GMT	https://outsourceo-128.webflow.io/home-3	C:/Users/hanak/Documents/Helix/Website/Helix%20Webflow/outsourceo-128.webflow.io/home-3.html	(from https://outsourceo-128.webflow.io/)
15:53:42	37051/37051	---M-Z	200	added ('OK')	text/html	date:Fri,%2003%20Jun%202022%2008:53:42%20GMT	https://outsourceo-128.webflow.io/about-us	C:/Users/hanak/Documents/Helix/Website/Helix%20Webflow/outsourceo-128.webflow.io/about-us.html	(from https://outsourceo-128.webflow.io/)
15:53:43	22707/22707	---M-Z	200	added ('OK')	text/html	date:Fri,%2003%20Jun%202022%2008:53:43%20GMT	https://outsourceo-128.webflow.io/leadership	C:/Users/hanak/Documents/Helix/Website/Helix%20Webflow/outsourceo-128.webflow.io/leadership.html	(from https://outsourceo-128.webflow.io/)
15:53:43	29927/29927	---M-Z	200	added ('OK')	text/html	date:Fri,%2003%20Jun%202022%2008:53:43%20GMT	https://outsourceo-128.webflow.io/why-us	C:/Users/hanak/Documents/Helix/Website/Helix%20Webflow/outsourceo-128.webflow.io/why-us.html	(from https://outsourceo-128.webflow.io/)
15:53:43	26833/26833	---M-Z	200	added ('OK')	text/html	date:Fri,%2003%20Jun%202022%2008:53:43%20GMT	https://outsourceo-128.webflow.io/our-values	C:/Users/hanak/Documents/Helix/Website/Helix%20Webflow/outsourceo-128.webflow.io/our-values.html	(from https://outsourceo-128.webflow.io/)
15:53:43	21964/21964	---M-Z	200	added ('OK')	text/html	date:Fri,%2003%20Jun%202022%2008:53:43%20GMT	https://outsourceo-128.webflow.io/careers	C:/Users/hanak/Documents/Helix/Website/Helix%20Webflow/outsourceo-128.webflow.io/careers.html	(from https://outsourceo-128.webflow.io/)
15:53:44	16690/16690	---M-Z	200	added ('OK')	text/html	date:Fri,%2003%20Jun%202022%2008:53:44%20GMT	https://outsourceo-128.webflow.io/services	C:/Users/hanak/Documents/Helix/Website/Helix%20Webflow/outsourceo-128.webflow.io/services.html	(from https://outsourceo-128.webflow.io/)
15:53:44	23890/23890	---M-Z	200	added ('OK')	text/html	date:Fri,%2003%20Jun%202022%2008:53:44%20GMT	https://outsourceo-128.webflow.io/services/product-design	C:/Users/hanak/Documents/Helix/Website/Helix%20Webflow/outsourceo-128.webflow.io/services/product-design.html	(from https://outsourceo-128.webflow.io/)
15:53:44	22316/22316	---M-Z	200	added ('OK')	text/html	date:Fri,%2003%20Jun%202022%2008:53:44%20GMT	https://outsourceo-128.webflow.io/case-studies-1	C:/Users/hanak/Documents/Helix/Website/Helix%20Webflow/outsourceo-128.webflow.io/case-studies-1.html	(from https://outsourceo-128.webflow.io/)
15:53:45	20207/20207	---M-Z	200	added ('OK')	text/html	date:Fri,%2003%20Jun%202022%2008:53:45%20GMT	https://outsourceo-128.webflow.io/case-studies-2	C:/Users/hanak/Documents/Helix/Website/Helix%20Webflow/outsourceo-128.webflow.io/case-studies-2.html	(from https://outsourceo-128.webflow.io/)
15:53:45	19180/19180	---M-Z	200	added ('OK')	text/html	date:Fri,%2003%20Jun%202022%2008:53:45%20GMT	https://outsourceo-128.webflow.io/case-studies-3	C:/Users/hanak/Documents/Helix/Website/Helix%20Webflow/outsourceo-128.webflow.io/case-studies-3.html	(from https://outsourceo-128.webflow.io/)
15:53:45	19444/19444	---M-Z	200	added ('OK')	text/html	date:Fri,%2003%20Jun%202022%2008:53:45%20GMT	https://outsourceo-128.webflow.io/grid-blog	C:/Users/hanak/Documents/Helix/Website/Helix%20Webflow/outsourceo-128.webflow.io/grid-blog.html	(from https://outsourceo-128.webflow.io/)
15:53:45	17061/17061	---M-Z	200	added ('OK')	text/html	date:Fri,%2003%20Jun%202022%2008:53:45%20GMT	https://outsourceo-128.webflow.io/classic-grid	C:/Users/hanak/Documents/Helix/Website/Helix%20Webflow/outsourceo-128.webflow.io/classic-grid.html	(from https://outsourceo-128.webflow.io/)
15:53:46	18517/18517	---M-Z	200	added ('OK')	text/html	date:Fri,%2003%20Jun%202022%2008:53:46%20GMT	https://outsourceo-128.webflow.io/blog-3	C:/Users/hanak/Documents/Helix/Website/Helix%20Webflow/outsourceo-128.webflow.io/blog-3.html	(from https://outsourceo-128.webflow.io/)
15:53:46	18013/18013	---M-Z	200	added ('OK')	text/html	date:Fri,%2003%20Jun%202022%2008:53:46%20GMT	https://outsourceo-128.webflow.io/contact-us	C:/Users/hanak/Documents/Helix/Website/Helix%20Webflow/outsourceo-128.webflow.io/contact-us.html	(from https://outsourceo-128.webflow.io/)
15:53:46	15265/15265	---M-Z	200	added ('OK')	text/html	date:Fri,%2003%20Jun%202022%2008:53:46%20GMT	https://outsourceo-128.webflow.io/locations	C:/Users/hanak/Documents/Helix/Website/Helix%20Webflow/outsourceo-128.webflow.io/locations.html	(from https://outsourceo-128.webflow.io/)
15:53:47	20251/20251	---M-Z	200	added ('OK')	text/html	date:Fri,%2003%20Jun%202022%2008:53:46%20GMT	https://outsourceo-128.webflow.io/style-guide	C:/Users/hanak/Documents/Helix/Website/Helix%20Webflow/outsourceo-128.webflow.io/style-guide.html	(from https://outsourceo-128.webflow.io/)
15:53:47	4113/4113	---M-Z	200	added ('OK')	text/html	date:Fri,%2003%20Jun%202022%2008:53:47%20GMT	https://outsourceo-128.webflow.io/coming-soon	C:/Users/hanak/Documents/Helix/Website/Helix%20Webflow/outsourceo-128.webflow.io/coming-soon.html	(from https://outsourceo-128.webflow.io/)
15:53:47	152/152	---M--	200	added ('OK')	image/png	etag:%22eecd385a35cff78bb484aac1cfea791d%22	https://assets.website-files.com/623cd800893cf70fad24035e/623dac7a3d2b8f1b2ac95540_Burger%20Button.png	C:/Users/hanak/Documents/Helix/Website/Helix%20Webflow/assets.website-files.com/623cd800893cf70fad24035e/623dac7a3d2b8f1b2ac95540_Burger%20Button.png	(from https://outsourceo-128.webflow.io/)
15:53:47	6312/6312	---M--	200	added ('OK')	image/png	etag:%22e573b8c0463990086925376b83d4277b%22	https://assets.website-files.com/623cd800893cf70fad24035e/623dc28eecb9767c43f3ecc7_banner-slider-logo-01.png	C:/Users/hanak/Documents/Helix/Website/Helix%20Webflow/assets.website-files.com/623cd800893cf70fad24035e/623dc28eecb9767c43f3ecc7_banner-slider-logo-01.png	(from https://outsourceo-128.webflow.io/)
15:53:47	23007/23007	---M--	200	added ('OK')	image/jpeg	etag:%22c811b658ee7a9881a724981330ef8184%22	https://assets.website-files.com/623cd800893cf70fad24035e/623dce675fa89d55cbfff944_video-banner-01.jpg	C:/Users/hanak/Documents/Helix/Website/Helix%20Webflow/assets.website-files.com/623cd800893cf70fad24035e/623dce675fa89d55cbfff944_video-banner-01.jpg	(from https://outsourceo-128.webflow.io/)
15:53:48	29157/29157	---M--	200	added ('OK')	image/jpeg	etag:%224e38da60248670096b8dfecb8c996d29%22	https://assets.website-files.com/623cd800893cf70fad24035e/623dce683ab036ae513730c0_video-banner-02.jpg	C:/Users/hanak/Documents/Helix/Website/Helix%20Webflow/assets.website-files.com/623cd800893cf70fad24035e/623dce683ab036ae513730c0_video-banner-02.jpg	(from https://outsourceo-128.webflow.io/)
15:53:48	38324/38324	---M--	200	added ('OK')	image/jpeg	etag:%22fc62b5bbbbea5111a43c10883c84ddb1%22	https://assets.website-files.com/623cd800893cf70fad24035e/623dce68099ace24bec8c9ea_video-banner-03.jpg	C:/Users/hanak/Documents/Helix/Website/Helix%20Webflow/assets.website-files.com/623cd800893cf70fad24035e/623dce68099ace24bec8c9ea_video-banner-03.jpg	(from https://outsourceo-128.webflow.io/)
15:53:49	21521/21521	---M--	200	added ('OK')	image/jpeg	etag:%223dd6c688feca9939bba9e5fbf68e042a%22	https://assets.website-files.com/623cd800893cf70fad24035e/625832c325dd8c88cd32fb0c_clutch_logo.jpg	C:/Users/hanak/Documents/Helix/Website/Helix%20Webflow/assets.website-files.com/623cd800893cf70fad24035e/625832c325dd8c88cd32fb0c_clutch_logo.jpg	(from https://outsourceo-128.webflow.io/)
15:53:49	29438/29438	---M--	200	added ('OK')	image/png	etag:%222a0ca8961f6476cbea7661da9f7bffaa%22	https://assets.website-files.com/623cd800893cf70fad24035e/625832c3410ea54b495c11f8_facts_image.png	C:/Users/hanak/Documents/Helix/Website/Helix%20Webflow/assets.website-files.com/623cd800893cf70fad24035e/625832c3410ea54b495c11f8_facts_image.png	(from https://outsourceo-128.webflow.io/)
15:53:49	21771/21771	---M--	200	added ('OK')	image/jpeg	etag:%22d11e984f036c586102a1c30edb698aca%22	https://assets.website-files.com/6242b6a9cd3b4203c6374a4b/62430667b2fa12a59be40df4_project-image-02.jpg	C:/Users/hanak/Documents/Helix/Website/Helix%20Webflow/assets.website-files.com/6242b6a9cd3b4203c6374a4b/62430667b2fa12a59be40df4_project-image-02.jpg	(from https://outsourceo-128.webflow.io/)
15:53:49	26470/26470	---M-Z	200	added ('OK')	text/html	date:Fri,%2003%20Jun%202022%2008:53:49%20GMT	https://outsourceo-128.webflow.io/portfolio/high-performance-using-optimal-coding	C:/Users/hanak/Documents/Helix/Website/Helix%20Webflow/outsourceo-128.webflow.io/portfolio/high-performance-using-optimal-coding.html	(from https://outsourceo-128.webflow.io/)
15:53:50	3000/3000	---M--	200	added ('OK')	image/png	etag:%2252cbef6255030951ee6ad475e672a441%22	https://assets.website-files.com/6242b6a9cd3b4203c6374a4b/62430672de47a3dd3e6b05d9_project-logo-01.png	C:/Users/hanak/Documents/Helix/Website/Helix%20Webflow/assets.website-files.com/6242b6a9cd3b4203c6374a4b/62430672de47a3dd3e6b05d9_project-logo-01.png	(from https://outsourceo-128.webflow.io/)
15:53:50	21454/21454	---M--	200	added ('OK')	image/jpeg	etag:%22a35b30120a92c833bc129be694cec5d3%22	https://assets.website-files.com/6242b6a9cd3b4203c6374a4b/6243069942614682f0ac3466_project-image-01.jpg	C:/Users/hanak/Documents/Helix/Website/Helix%20Webflow/assets.website-files.com/6242b6a9cd3b4203c6374a4b/6243069942614682f0ac3466_project-image-01.jpg	(from https://outsourceo-128.webflow.io/)
